nct_id,title,status,start_date,primary_completion_date,completion_date,study_type,phases,enrollment_count,enrollment_type,allocation,intervention_model,masking,lead_sponsor,lead_sponsor_class,conditions,interventions,n_germany_sites,germany_cities,n_total_sites,search_condition
NCT00846586,Efficacy and Safety of Indacaterol Plus Tiotropium Versus Tiotropium Alone in Patients With Chronic Obstructive Pulmonary Disease,COMPLETED,2009-03,2010-03,2010-03,INTERVENTIONAL,PHASE3,1134.0,ACTUAL,RANDOMIZED,PARALLEL,QUADRUPLE,Novartis Pharmaceuticals,INDUSTRY,Chronic Obstructive Pulmonary Disease (COPD),Indacaterol 150 μg;Tiotropium 18 μg;Placebo to indacaterol,21,Berlin;Cottbus;Donaustauf;Dortmund;Erfurt;Frankfurt;Gelnhausen;Großhansdorf;Hanover;Heidelberg;Leipzig;Mainz;Neu-Ulm;Neuss;Potsdam;Rostock;Schwabach;Schwetzingen;Straußberg;Wiesbaden;Wuppertal,137,COPD
NCT00669617,Study to Determine the Onset of Action of Indacaterol in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD),COMPLETED,2008-04,2008-08,2008-08,INTERVENTIONAL,PHASE3,89.0,ACTUAL,RANDOMIZED,CROSSOVER,TRIPLE,Novartis,INDUSTRY,Chronic Obstructive Pulmonary Disease,Indacaterol;Salmeterol/fluticasone (50/500 μg);Salbutamol (200 µg);Placebo to Indacaterol;Placebo to Salmeterol/fluticasone;Placebo to salbutamol,8,Berlin;Borstel;Dortmund;Hamburg;Hanover;Mainz;Potsdam;Wiesbaden,17,COPD
NCT01969721,Characterization of Lung Function Profile of Inhaled Tiotropium + Olodaterol Fixed Dose Combination Compared to Fluticasone Propionate + Salmeterol Fixed Dose Combination in COPD Patients,COMPLETED,2013-10,2015-01,2015-02,INTERVENTIONAL,PHASE3,229.0,ACTUAL,RANDOMIZED,CROSSOVER,DOUBLE,Boehringer Ingelheim,INDUSTRY,"Pulmonary Disease, Chronic Obstructive",fluticasone propionate;salmeterol;placebo;placebo;tiotropium;olodaterol;olodaterol;placebo;placebo;tiotropium;fluticasone propionate;salmeterol,5,Großhansdorf;Hamburg;Mannheim;Mönchengladbach;Wiesbaden,29,COPD
NCT01323621,Study Evaluating the 24-Hour Pulmonary Function Profile of Fluticasone Furoate (FF) /GW642444 (Vilanterol) (VI) Inhalation Powder 100/25mcg Once Daily Compared With Fluticasone Propionate/Salmeterol Inhalation Powder 250/50mcg Twice Daily in Subjects With Chronic Obstructive Pulmonary Disease (COPD),COMPLETED,2011-03-18,2012-01-01,2012-01-24,INTERVENTIONAL,PHASE3,512.0,ACTUAL,RANDOMIZED,PARALLEL,DOUBLE,GlaxoSmithKline,INDUSTRY,"Pulmonary Disease, Chronic Obstructive",Fluticasone Furoate 100mcg/ GW642444 (vilanterol) 25mcg;Fluticasone Propionate 250mcg / salmeterol 50mcg;Double-dummy placebo;Salbutamol as needed,1,Lübeck,51,COPD
NCT01525615,A Study to Determine the Effect of Tiotropium + Olodaterol Fixed Dose Combination on Exercise Endurance Time During Constant Work Rate Cycle Ergometry Test in COPD,COMPLETED,2012-02,2013-09,2013-09,INTERVENTIONAL,PHASE3,404.0,ACTUAL,RANDOMIZED,PARALLEL,DOUBLE,Boehringer Ingelheim,INDUSTRY,"Pulmonary Disease, Chronic Obstructive",Respimat inhaler;tiotropium+olodaterol (low dose);tiotropium + olodaterol (high dose);Respimat inhaler;Respimat inhaler;placebo to tiotropium+olodaterol,8,Aschaffenburg;Berlin;Großhansdorf;Hamburg;Hanover;Koblenz;Wiesloch,60,COPD
NCT01580215,Long Term Follow up Investigation of Endobronchial Valves in Emphysema,TERMINATED,2012-07,2016-09,2016-09,OBSERVATIONAL,,628.0,ACTUAL,,,,Pulmonx International Sàrl,INDUSTRY,Pulmonary Emphysema,Zephyr Endobronchial Valve (EBV),1,Heidelberg,1,COPD
NCT06334575,Molecular Signatures Associated With Response to ICS Treatment in Patients With COPD Stratified by Eosinophil Levels,RECRUITING,2025-02-12,2027-12,2027-12,INTERVENTIONAL,PHASE4,135.0,ESTIMATED,RANDOMIZED,PARALLEL,NONE,Maria Joyera Rodríguez,OTHER,Chronic Obstructive Pulmonary Disease,Budesonide,1,Marburg,6,COPD
NCT03871933,Autonomic Function in COPD and Risk for Atrial Fibrillation,COMPLETED,2019-03-01,2019-08-31,2019-08-31,OBSERVATIONAL,,50.0,ACTUAL,,,,"Heinrich-Heine University, Duesseldorf",OTHER,Chronic Obstructive Pulmonary Disease,"Measurement of lung function, electrocardiography, echocardiography and autonomic function",1,Düsseldorf,1,COPD
NCT01987544,Effects of Ergometer Training With Telemonitoring in Patients With Chronic Obstructive Pulmonary Disease (COPD) After Exacerbation,COMPLETED,2012-09,2014-12,2015-03,INTERVENTIONAL,,53.0,ACTUAL,RANDOMIZED,CROSSOVER,NONE,Institut für Pneumologie Hagen Ambrock eV,INDUSTRY,COPD,Ergometer Training;Motivation,1,Hagen,1,COPD
NCT01777334,The Purpose of This Study is to Evaluate the Spirometric Effect (Trough FEV1) of Umeclidinium/Vilanterol 62.5/25 mcg Once Daily Compared With Tiotriopium 18 mcg Once Daily Over a 24-week Treatment Period in Subjects With COPD,COMPLETED,2013-01-23,2013-09-24,2013-09-24,INTERVENTIONAL,PHASE3,905.0,ACTUAL,RANDOMIZED,PARALLEL,DOUBLE,GlaxoSmithKline,INDUSTRY,"Pulmonary Disease, Chronic Obstructive",Umeclidinium/Vilanterol 62.5/25 mcg;Tiotropium 18 mcg,10,Berlin;Dresden;Frankfurt am Main;Geesthacht;Hamburg;Leipzig;Neu-Isenburg,70,COPD
